==== Training 784x10x10x10 ANN ======
Epoch 0: 5539 / 10000
Epoch 1: 7115 / 10000
Epoch 2: 7929 / 10000
Epoch 3: 8279 / 10000
Epoch 4: 8488 / 10000
Epoch 5: 8616 / 10000
Epoch 6: 8709 / 10000
Epoch 7: 8769 / 10000
Epoch 8: 8821 / 10000
Epoch 9: 8869 / 10000
Epoch 10: 8907 / 10000
Epoch 11: 8928 / 10000
Epoch 12: 8940 / 10000
Epoch 13: 8950 / 10000
Epoch 14: 8978 / 10000
Epoch 15: 9011 / 10000
Epoch 16: 9013 / 10000
Epoch 17: 9015 / 10000
Epoch 18: 9030 / 10000
Epoch 19: 9034 / 10000
Epoch 20: 9021 / 10000
Epoch 21: 9001 / 10000
Epoch 22: 9062 / 10000
Epoch 23: 9059 / 10000
Epoch 24: 9051 / 10000
Epoch 25: 9086 / 10000
Epoch 26: 9065 / 10000
Epoch 27: 9066 / 10000
Epoch 28: 9070 / 10000
Epoch 29: 9080 / 10000
Epoch 30: 9100 / 10000
Epoch 31: 9090 / 10000
Epoch 32: 9092 / 10000
Epoch 33: 9077 / 10000
Epoch 34: 9086 / 10000
Epoch 35: 9107 / 10000
Epoch 36: 9106 / 10000
Epoch 37: 9102 / 10000
Epoch 38: 9112 / 10000
Epoch 39: 9106 / 10000
Epoch 40: 9111 / 10000
Epoch 41: 9118 / 10000
Epoch 42: 9125 / 10000
Epoch 43: 9128 / 10000
Epoch 44: 9114 / 10000
Epoch 45: 9138 / 10000
Epoch 46: 9140 / 10000
Epoch 47: 9126 / 10000
Epoch 48: 9116 / 10000
Epoch 49: 9138 / 10000
==== Training 784x10x10x10 ANN DONE... ======
==== Training 784x10x20x10 ANN ======
Epoch 0: 6007 / 10000
Epoch 1: 7591 / 10000
Epoch 2: 8177 / 10000
Epoch 3: 8398 / 10000
Epoch 4: 8508 / 10000
Epoch 5: 8610 / 10000
Epoch 6: 8688 / 10000
Epoch 7: 8733 / 10000
Epoch 8: 8785 / 10000
Epoch 9: 8798 / 10000
Epoch 10: 8854 / 10000
Epoch 11: 8862 / 10000
Epoch 12: 8881 / 10000
Epoch 13: 8924 / 10000
Epoch 14: 8951 / 10000
Epoch 15: 8975 / 10000
Epoch 16: 8976 / 10000
Epoch 17: 8997 / 10000
Epoch 18: 9020 / 10000
Epoch 19: 9019 / 10000
Epoch 20: 9022 / 10000
Epoch 21: 9040 / 10000
Epoch 22: 9059 / 10000
Epoch 23: 9047 / 10000
Epoch 24: 9064 / 10000
Epoch 25: 9065 / 10000
Epoch 26: 9081 / 10000
Epoch 27: 9085 / 10000
Epoch 28: 9063 / 10000
Epoch 29: 9081 / 10000
Epoch 30: 9098 / 10000
Epoch 31: 9108 / 10000
Epoch 32: 9110 / 10000
Epoch 33: 9109 / 10000
Epoch 34: 9106 / 10000
Epoch 35: 9117 / 10000
Epoch 36: 9135 / 10000
Epoch 37: 9118 / 10000
Epoch 38: 9131 / 10000
Epoch 39: 9125 / 10000
Epoch 40: 9133 / 10000
Epoch 41: 9118 / 10000
Epoch 42: 9120 / 10000
Epoch 43: 9135 / 10000
Epoch 44: 9152 / 10000
Epoch 45: 9136 / 10000
Epoch 46: 9142 / 10000
Epoch 47: 9145 / 10000
Epoch 48: 9147 / 10000
Epoch 49: 9149 / 10000
==== Training 784x10x20x10 ANN DONE... ======
