"C:\Program Files\Python38\python.exe" A:/USU/Assignments/IntelligentSystems/hw03/commands.py
==== Training 784x10x10 ANN ======
Epoch 0: 7721 / 10000
Epoch 1: 8644 / 10000
Epoch 2: 8802 / 10000
Epoch 3: 8887 / 10000
Epoch 4: 8935 / 10000
Epoch 5: 8968 / 10000
Epoch 6: 9003 / 10000
Epoch 7: 9013 / 10000
Epoch 8: 9033 / 10000
Epoch 9: 9066 / 10000
Epoch 10: 9066 / 10000
Epoch 11: 9068 / 10000
Epoch 12: 9050 / 10000
Epoch 13: 9081 / 10000
Epoch 14: 9086 / 10000
Epoch 15: 9136 / 10000
Epoch 16: 9100 / 10000
Epoch 17: 9096 / 10000
Epoch 18: 9067 / 10000
Epoch 19: 9105 / 10000
Epoch 20: 9119 / 10000
Epoch 21: 9110 / 10000
Epoch 22: 9084 / 10000
Epoch 23: 9131 / 10000
Epoch 24: 9123 / 10000
Epoch 25: 9089 / 10000
Epoch 26: 9146 / 10000
Epoch 27: 9102 / 10000
Epoch 28: 9088 / 10000
Epoch 29: 9143 / 10000
Epoch 30: 9146 / 10000
Epoch 31: 9135 / 10000
Epoch 32: 9138 / 10000
Epoch 33: 9149 / 10000
Epoch 34: 9128 / 10000
Epoch 35: 9126 / 10000
Epoch 36: 9144 / 10000
Epoch 37: 9133 / 10000
Epoch 38: 9116 / 10000
Epoch 39: 9146 / 10000
Epoch 40: 9112 / 10000
Epoch 41: 9132 / 10000
Epoch 42: 9164 / 10000
Epoch 43: 9143 / 10000
Epoch 44: 9122 / 10000
Epoch 45: 9155 / 10000
Epoch 46: 9144 / 10000
Epoch 47: 9166 / 10000
Epoch 48: 9163 / 10000
Epoch 49: 9140 / 10000
==== Training 784x10x10 ANN DONE... ======
==== Training 784x20x10 ANN ======
Epoch 0: 8706 / 10000
Epoch 1: 9008 / 10000
Epoch 2: 9099 / 10000
Epoch 3: 9151 / 10000
Epoch 4: 9216 / 10000
Epoch 5: 9266 / 10000
Epoch 6: 9266 / 10000
Epoch 7: 9283 / 10000
Epoch 8: 9322 / 10000
Epoch 9: 9292 / 10000
Epoch 10: 9338 / 10000
Epoch 11: 9324 / 10000
Epoch 12: 9328 / 10000
Epoch 13: 9349 / 10000
Epoch 14: 9336 / 10000
Epoch 15: 9357 / 10000
Epoch 16: 9349 / 10000
Epoch 17: 9364 / 10000
Epoch 18: 9380 / 10000
Epoch 19: 9348 / 10000
Epoch 20: 9372 / 10000
Epoch 21: 9382 / 10000
Epoch 22: 9373 / 10000
Epoch 23: 9388 / 10000
Epoch 24: 9400 / 10000
Epoch 25: 9389 / 10000
Epoch 26: 9384 / 10000
Epoch 27: 9409 / 10000
Epoch 28: 9393 / 10000
Epoch 29: 9397 / 10000
Epoch 30: 9414 / 10000
Epoch 31: 9400 / 10000
Epoch 32: 9412 / 10000
Epoch 33: 9400 / 10000
Epoch 34: 9405 / 10000
Epoch 35: 9395 / 10000
Epoch 36: 9404 / 10000
Epoch 37: 9415 / 10000
Epoch 38: 9400 / 10000
Epoch 39: 9395 / 10000
Epoch 40: 9416 / 10000
Epoch 41: 9401 / 10000
Epoch 42: 9412 / 10000
Epoch 43: 9401 / 10000
Epoch 44: 9406 / 10000
Epoch 45: 9411 / 10000
Epoch 46: 9411 / 10000
Epoch 47: 9418 / 10000
Epoch 48: 9409 / 10000
Epoch 49: 9413 / 10000
==== Training 784x20x10 ANN DONE... ======
==== Training 784x30x10 ANN ======
Epoch 0: 8738 / 10000
Epoch 1: 9041 / 10000
Epoch 2: 9164 / 10000
Epoch 3: 9205 / 10000
Epoch 4: 9277 / 10000
Epoch 5: 9294 / 10000
Epoch 6: 9331 / 10000
Epoch 7: 9318 / 10000
Epoch 8: 9354 / 10000
Epoch 9: 9382 / 10000
Epoch 10: 9378 / 10000
Epoch 11: 9406 / 10000
Epoch 12: 9412 / 10000
Epoch 13: 9412 / 10000
Epoch 14: 9420 / 10000
Epoch 15: 9435 / 10000
Epoch 16: 9435 / 10000
Epoch 17: 9432 / 10000
Epoch 18: 9452 / 10000
Epoch 19: 9460 / 10000
Epoch 20: 9453 / 10000
Epoch 21: 9448 / 10000
Epoch 22: 9457 / 10000
Epoch 23: 9466 / 10000
Epoch 24: 9465 / 10000
Epoch 25: 9464 / 10000
Epoch 26: 9450 / 10000
Epoch 27: 9483 / 10000
Epoch 28: 9464 / 10000
Epoch 29: 9461 / 10000
Epoch 30: 9467 / 10000
Epoch 31: 9476 / 10000
Epoch 32: 9474 / 10000
Epoch 33: 9473 / 10000
Epoch 34: 9468 / 10000
Epoch 35: 9471 / 10000
Epoch 36: 9465 / 10000
Epoch 37: 9470 / 10000
Epoch 38: 9455 / 10000
Epoch 39: 9457 / 10000
Epoch 40: 9491 / 10000
Epoch 41: 9485 / 10000
Epoch 42: 9469 / 10000
Epoch 43: 9483 / 10000
Epoch 44: 9474 / 10000
Epoch 45: 9471 / 10000
Epoch 46: 9464 / 10000
Epoch 47: 9479 / 10000
Epoch 48: 9473 / 10000
Epoch 49: 9462 / 10000
==== Training 784x30x10 ANN DONE... ======
==== Training 784x40x10 ANN ======
Epoch 0: 7133 / 10000
Epoch 1: 7417 / 10000
Epoch 2: 9107 / 10000
Epoch 3: 9210 / 10000
Epoch 4: 9299 / 10000
Epoch 5: 9340 / 10000
Epoch 6: 9361 / 10000
Epoch 7: 9355 / 10000
Epoch 8: 9404 / 10000
Epoch 9: 9400 / 10000
Epoch 10: 9415 / 10000
Epoch 11: 9442 / 10000
Epoch 12: 9451 / 10000
Epoch 13: 9471 / 10000
Epoch 14: 9481 / 10000
Epoch 15: 9485 / 10000
Epoch 16: 9487 / 10000
Epoch 17: 9482 / 10000
Epoch 18: 9489 / 10000
Epoch 19: 9489 / 10000
Epoch 20: 9502 / 10000
Epoch 21: 9481 / 10000
Epoch 22: 9504 / 10000
Epoch 23: 9500 / 10000
Epoch 24: 9510 / 10000
Epoch 25: 9491 / 10000
Epoch 26: 9497 / 10000
Epoch 27: 9492 / 10000
Epoch 28: 9514 / 10000
Epoch 29: 9512 / 10000
Epoch 30: 9481 / 10000
Epoch 31: 9480 / 10000
Epoch 32: 9507 / 10000
Epoch 33: 9506 / 10000
Epoch 34: 9509 / 10000
Epoch 35: 9505 / 10000
Epoch 36: 9500 / 10000
Epoch 37: 9517 / 10000
Epoch 38: 9511 / 10000
Epoch 39: 9511 / 10000
Epoch 40: 9506 / 10000
Epoch 41: 9508 / 10000
Epoch 42: 9498 / 10000
Epoch 43: 9504 / 10000
Epoch 44: 9506 / 10000
Epoch 45: 9512 / 10000
Epoch 46: 9506 / 10000
Epoch 47: 9503 / 10000
Epoch 48: 9505 / 10000
Epoch 49: 9499 / 10000
==== Training 784x40x10 ANN DONE... ======
==== Training 784x50x10 ANN ======
Epoch 0: 7218 / 10000
Epoch 1: 8171 / 10000
Epoch 2: 8300 / 10000
Epoch 3: 8370 / 10000
Epoch 4: 8398 / 10000
Epoch 5: 8431 / 10000
Epoch 6: 8488 / 10000
Epoch 7: 8495 / 10000
Epoch 8: 8511 / 10000
Epoch 9: 8537 / 10000
Epoch 10: 8528 / 10000
Epoch 11: 8556 / 10000
Epoch 12: 8581 / 10000
Epoch 13: 8579 / 10000
Epoch 14: 8579 / 10000
Epoch 15: 8590 / 10000
Epoch 16: 8583 / 10000
Epoch 17: 8604 / 10000
Epoch 18: 8595 / 10000
Epoch 19: 8624 / 10000
Epoch 20: 8612 / 10000
Epoch 21: 8617 / 10000
Epoch 22: 8622 / 10000
Epoch 23: 8640 / 10000
Epoch 24: 8636 / 10000
Epoch 25: 8627 / 10000
Epoch 26: 8634 / 10000
Epoch 27: 8639 / 10000
Epoch 28: 8635 / 10000
Epoch 29: 8654 / 10000
Epoch 30: 8632 / 10000
Epoch 31: 8645 / 10000
Epoch 32: 8652 / 10000
Epoch 33: 8647 / 10000
