==== Training 784x10x10 ANN ======
Epoch 0: 8341 / 10000
Epoch 1: 8705 / 10000
Epoch 2: 8834 / 10000
Epoch 3: 8928 / 10000
Epoch 4: 8984 / 10000
Epoch 5: 8990 / 10000
Epoch 6: 9020 / 10000
Epoch 7: 9045 / 10000
Epoch 8: 9059 / 10000
Epoch 9: 9079 / 10000
Epoch 10: 9057 / 10000
Epoch 11: 9099 / 10000
Epoch 12: 9094 / 10000
Epoch 13: 9122 / 10000
Epoch 14: 9103 / 10000
Epoch 15: 9138 / 10000
Epoch 16: 9131 / 10000
Epoch 17: 9105 / 10000
Epoch 18: 9109 / 10000
Epoch 19: 9114 / 10000
Epoch 20: 9139 / 10000
Epoch 21: 9125 / 10000
Epoch 22: 9123 / 10000
Epoch 23: 9153 / 10000
Epoch 24: 9096 / 10000
Epoch 25: 9131 / 10000
Epoch 26: 9158 / 10000
Epoch 27: 9128 / 10000
Epoch 28: 9136 / 10000
Epoch 29: 9156 / 10000
Epoch 30: 9155 / 10000
Epoch 31: 9150 / 10000
Epoch 32: 9130 / 10000
Epoch 33: 9152 / 10000
Epoch 34: 9142 / 10000
Epoch 35: 9140 / 10000
Epoch 36: 9096 / 10000
Epoch 37: 9101 / 10000
Epoch 38: 9137 / 10000
Epoch 39: 9136 / 10000
Epoch 40: 9146 / 10000
Epoch 41: 9074 / 10000
Epoch 42: 9136 / 10000
Epoch 43: 9118 / 10000
Epoch 44: 9150 / 10000
Epoch 45: 9160 / 10000
Epoch 46: 9142 / 10000
Epoch 47: 9134 / 10000
Epoch 48: 9132 / 10000
Epoch 49: 9142 / 10000
==== Training 784x10x10 ANN DONE... ======
==== Training 784x20x10 ANN ======
Epoch 0: 8044 / 10000
Epoch 1: 8839 / 10000
Epoch 2: 8992 / 10000
Epoch 3: 9091 / 10000
Epoch 4: 9154 / 10000
Epoch 5: 9172 / 10000
Epoch 6: 9200 / 10000
Epoch 7: 9248 / 10000
Epoch 8: 9269 / 10000
Epoch 9: 9269 / 10000
Epoch 10: 9296 / 10000
Epoch 11: 9299 / 10000
Epoch 12: 9327 / 10000
Epoch 13: 9320 / 10000
Epoch 14: 9300 / 10000
Epoch 15: 9338 / 10000
Epoch 16: 9308 / 10000
Epoch 17: 9337 / 10000
Epoch 18: 9340 / 10000
Epoch 19: 9347 / 10000
Epoch 20: 9348 / 10000
Epoch 21: 9362 / 10000
Epoch 22: 9354 / 10000
Epoch 23: 9344 / 10000
Epoch 24: 9334 / 10000
Epoch 25: 9368 / 10000
Epoch 26: 9366 / 10000
Epoch 27: 9362 / 10000
Epoch 28: 9371 / 10000
Epoch 29: 9384 / 10000
Epoch 30: 9373 / 10000
Epoch 31: 9366 / 10000
Epoch 32: 9394 / 10000
Epoch 33: 9379 / 10000
Epoch 34: 9386 / 10000
Epoch 35: 9382 / 10000
Epoch 36: 9379 / 10000
Epoch 37: 9374 / 10000
Epoch 38: 9380 / 10000
Epoch 39: 9390 / 10000
Epoch 40: 9380 / 10000
Epoch 41: 9391 / 10000
Epoch 42: 9382 / 10000
Epoch 43: 9391 / 10000
Epoch 44: 9394 / 10000
Epoch 45: 9386 / 10000
Epoch 46: 9403 / 10000
Epoch 47: 9381 / 10000
Epoch 48: 9379 / 10000
Epoch 49: 9391 / 10000
==== Training 784x20x10 ANN DONE... ======
==== Training 784x30x10 ANN ======
Epoch 0: 7858 / 10000
Epoch 1: 8175 / 10000
Epoch 2: 8268 / 10000
Epoch 3: 8329 / 10000
